,adjust_date,adpage_id,campaign_id,clicks,cost,cpc,feed,id,id_linkpair,impression,report_date,revenue,rpc,rpi,trigger_words,utime,weight_new,weight_new5,weight_old,return,return_ratio,weight_alloc
0,0000-00-00,1509596,351115035,2.0,0.834,0.278,s4answers,5546447.0,432998,3.0,2018-10-11,1.42173,0.710864,0.473909,assisted senior living,2018-11-01 18:55:14,-1.0,,1.0,0.58773,0.7047122302158273,
1,0000-00-00,1509597,351115035,7.0,4.726,0.278,s4answers,5550251.0,432998,17.0,2018-10-11,2.82068,0.402954,0.165922,independent living senior care,2018-11-01 18:55:14,-1.0,,5.0,-1.9053200000000001,-0.4031570038087178,
2,0000-00-00,1509598,351115035,1.0,0.556,0.278,s4answers,5555438.0,432998,2.0,2018-10-11,1.11497,1.11497,0.557483,assisted living housing,2018-11-01 18:55:14,-1.0,,1.0,0.55897,1.0053417266187048,
3,0000-00-00,1509596,351115035,1.0,1.48465,0.247442,s4answers,5578663.0,432998,6.0,2018-10-12,0.346473,0.346473,0.0577456,assisted senior living,2018-11-06 17:18:39,-1.0,,1.0,-1.138177,-0.766629845418112,
4,0000-00-00,1509597,351115035,14.0,9.15535,0.247442,s4answers,5582208.0,432998,37.0,2018-10-12,11.2163,0.801164,0.303143,independent living senior care,2018-11-06 17:18:39,-1.0,,5.0,2.06095,0.2251088161566734,
5,0000-00-00,1509598,351115035,4.0,1.97953,0.247442,s4answers,5586852.0,432998,8.0,2018-10-12,3.03813,0.759533,0.379767,assisted living housing,2018-11-06 17:18:39,-1.0,,1.0,1.0586000000000002,0.5347734058084496,
6,0000-00-00,1509598,351115035,8.0,2.78778,0.214444,s4answers,5618957.0,432998,13.0,2018-10-13,2.55439,0.319299,0.196492,assisted living housing,2018-11-06 17:18:43,-1.0,,1.0,-0.23339,-0.08371894482347961,
7,0000-00-00,1509597,351115035,27.0,11.58,0.214444,s4answers,5614446.0,432998,54.0,2018-10-13,22.0715,0.817463,0.408731,independent living senior care,2018-11-06 17:18:43,-1.0,,5.0,10.4915,0.9060017271157168,
8,0000-00-00,1509596,351115035,3.0,1.71556,0.214444,s4answers,5611032.0,432998,8.0,2018-10-13,1.53849,0.512831,0.192312,assisted senior living,2018-11-06 17:18:43,-1.0,,1.0,-0.17707000000000006,-0.10321411084427246,
9,0000-00-00,1509596,351115035,1.0,0.3955,0.19775,s4answers,5643584.0,432998,2.0,2018-10-14,0.135684,0.135684,0.0678418,assisted senior living,2018-11-06 17:18:48,-1.0,,1.0,-0.25981600000000005,-0.6569304677623262,
10,0000-00-00,1509597,351115035,20.0,6.7235,0.19775,s4answers,5646908.0,432998,34.0,2018-10-14,14.1216,0.70608,0.415341,independent living senior care,2018-11-06 17:18:48,-1.0,,5.0,7.398100000000001,1.1003346471331898,
11,0000-00-00,1509598,351115035,3.0,1.77975,0.19775,s4answers,5651368.0,432998,9.0,2018-10-14,2.70187,0.900624,0.300208,assisted living housing,2018-11-06 17:18:48,-1.0,,1.0,0.92212,0.518117713161961,
12,0000-00-00,1509596,351115035,1.0,0.547143,0.182381,s4answers,5677648.0,432998,3.0,2018-10-15,0.197233,0.197233,0.0657444,assisted senior living,2018-11-06 17:18:53,-1.0,,1.0,-0.34991000000000005,-0.639522026234458,0.009999999999996047
13,0000-00-00,1509597,351115035,10.0,2.9181,0.182381,s4answers,5681652.0,432998,16.0,2018-10-15,4.36635,0.436635,0.272897,independent living senior care,2018-11-06 17:18:53,-1.0,,5.0,1.4482499999999998,0.4962989616531304,0.9313686988207035
14,0000-00-00,1509598,351115035,2.0,0.729524,0.182381,s4answers,5686749.0,432998,4.0,2018-10-15,2.90835,1.45417,0.727087,assisted living housing,2018-11-06 17:18:53,-1.0,,1.0,2.178826,2.986640604010286,0.058631301179300516
15,0000-00-00,1509598,351115035,0.0,0.6555,0.2185,s4answers,5720167.0,432998,3.0,2018-10-16,0.0,,0.0,assisted living housing,2018-11-06 17:18:58,-1.0,,1.0,-0.6555,-1.0,0.8949756070630663
16,0000-00-00,1509597,351115035,15.0,4.1515,0.2185,s4answers,5715029.0,432998,19.0,2018-10-16,11.9893,0.799286,0.631015,independent living senior care,2018-11-06 17:18:58,-1.0,,5.0,7.8378,1.887944116584367,0.06297923789253115
17,0000-00-00,1509596,351115035,1.0,0.437,0.2185,s4answers,5710838.0,432998,2.0,2018-10-16,2.46,2.46,1.23,assisted senior living,2018-11-06 17:18:58,-1.0,,1.0,2.023,4.62929061784897,0.04204515504440254
18,0000-00-00,1509596,351115035,1.0,0.8325,0.2775,s4answers,5744055.0,432998,3.0,2018-10-17,0.24777,0.24777,0.08259,assisted senior living,2018-11-06 17:19:03,-1.0,,1.0,-0.58473,-0.7023783783783784,0.00999997665839414
19,0000-00-00,1509597,351115035,14.0,10.545,0.2775,s4answers,5748424.0,432998,38.0,2018-10-17,9.733,0.695214,0.256132,independent living senior care,2018-11-06 17:19:03,-1.0,,5.0,-0.8119999999999994,-0.07700331910858221,0.9638554274197524
20,0000-00-00,1509598,351115035,2.0,1.3875,0.2775,s4answers,5753564.0,432998,5.0,2018-10-17,6.77238,3.38619,1.35448,assisted living housing,2018-11-06 17:19:03,-1.0,,1.0,5.38488,3.8809945945945947,0.026144595921853375
21,0000-00-00,1509596,351115035,5.0,3.10415,0.282195,s4answers,5776664.0,432998,11.0,2018-10-18,3.48648,0.697296,0.316953,assisted senior living,2018-11-06 17:19:09,-1.0,,1.0,0.3823299999999996,0.12316737271072584,0.021339559542559675
22,0000-00-00,1509597,351115035,13.0,11.0056,0.282195,s4answers,5780919.0,432998,39.0,2018-10-18,16.9722,1.30556,0.435186,independent living senior care,2018-11-06 17:19:09,-1.0,,5.0,5.9666000000000015,0.5421421821618087,0.06188959242947538
23,0000-00-00,1509598,351115035,5.0,1.41098,0.282195,s4answers,5786080.0,432998,5.0,2018-10-18,3.99382,0.798763,0.798763,assisted living housing,2018-11-06 17:19:09,-1.0,,1.0,2.58284,1.83052913577797,0.916770848027965
