,adjust_date,adpage_id,campaign_id,clicks,cost,cpc,feed,id,id_linkpair,impression,report_date,revenue,rpc,rpi,trigger_words,utime,weight_new,weight_new5,weight_old,return,return_ratio,weight_alloc
0,0000-00-00,1192354,351028109,0.0,1.8125,0.3625,topics,4793252.0,302006,5.0,2018-09-11,0.0,,0.0,ixazomib darzalex kyprolis melanoma nsclc treatment,2018-11-06 17:15:58,-1.0,,10.0,-1.8125,-1.0,
1,0000-00-00,1087960,351028109,4.0,2.5375,0.3625,topics,4793603.0,302006,7.0,2018-09-11,0.9346,0.23365,0.133514,Opdivo YERVOY advanced melanoma treatment,2018-11-01 18:34:21,-1.0,,0.0,-1.6029,-0.6316847290640394,
2,0000-00-00,1192352,351028109,9.0,8.89655,0.355862,topics,5070892.0,302006,25.0,2018-09-20,18.1547,2.01719,0.726188,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-06 17:16:37,-1.0,,10.0,9.258149999999999,1.040644969117242,
3,0000-00-00,1192354,351028109,2.0,2.13517,0.355862,topics,5079672.0,302006,6.0,2018-09-20,0.582,0.291,0.097,polymast ixazomib darzalex kyprolis melanoma nsclc treatment,2018-11-01 18:40:37,-1.0,,3.0,-1.5531700000000002,-0.7274221724733863,
4,0000-00-00,1192352,351028109,187.0,268.783,0.34548,topics,5103407.0,302006,778.0,2018-09-21,275.615,1.47388,0.354261,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-01 18:41:19,-1.0,,100.0,6.831999999999994,0.025418274221211883,
5,0000-00-00,1192354,351028109,1.0,0.69096,0.34548,topics,5111337.0,302006,2.0,2018-09-21,0.0392,0.0392,0.0196,polymast ixazomib darzalex kyprolis melanoma nsclc treatment,2018-11-01 18:41:19,-1.0,,0.0,-0.65176,-0.943267338196133,
6,0000-00-00,1071100,351028109,7.0,14.5102,0.34548,topics,5111383.0,302006,42.0,2018-09-21,17.5279,2.50399,0.417331,ninlaro kyprolis empliciti revlimid polymast advanced multiple myeloma,2018-11-01 18:41:19,-1.0,,5.0,3.0176999999999996,0.20797094457691828,
7,0000-00-00,1192352,351028109,370.0,497.752,0.323006,topics,5119094.0,302006,1541.0,2018-09-22,439.599,1.1881,0.285269,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-06 17:16:46,-1.0,,100.0,-58.15300000000002,-0.11683127340522995,
8,0000-00-00,1071100,351028109,16.0,30.0396,0.323006,topics,5126388.0,302006,93.0,2018-09-22,50.6642,3.16651,0.544776,ninlaro kyprolis empliciti revlimid polymast advanced multiple myeloma,2018-11-06 17:16:46,-1.0,,5.0,20.6246,0.6865803805643218,
9,0000-00-00,1192352,351028109,102.0,117.072,0.295635,topics,5135701.0,302006,396.0,2018-09-23,127.341,1.24844,0.321569,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-01 18:42:41,-1.0,,1.0,10.268999999999991,0.08771525215252145,0.08608855047449751
10,0000-00-00,1071100,351028109,597.0,612.261,0.295635,topics,5143167.0,302006,2071.0,2018-09-23,576.29,0.96531,0.278266,ninlaro kyprolis empliciti revlimid polymast advanced multiple myeloma,2018-11-01 18:42:41,-1.0,,100.0,-35.971000000000004,-0.058751088179714216,0.9139114495255025
11,0000-00-00,1192352,351028109,344.0,297.763,0.286036,topics,5152037.0,302006,1041.0,2018-09-24,156.093,0.453759,0.149945,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-06 17:17:01,-1.0,,1.0,-141.67,-0.4757810742100261,0.08746602184641365
12,0000-00-00,1192354,351028109,25.0,32.036,0.286036,topics,5159538.0,302006,112.0,2018-09-24,7.0819,0.283276,0.0632313,polymast ixazomib darzalex kyprolis melanoma nsclc treatment,2018-11-06 17:17:01,-1.0,,0.0,-24.9541,-0.7789393182669496,
13,0000-00-00,1071100,351028109,220.0,315.783,0.286036,topics,5159583.0,302006,1104.0,2018-09-24,369.598,1.67999,0.334781,ninlaro kyprolis empliciti revlimid polymast advanced multiple myeloma,2018-11-06 17:17:01,-1.0,,100.0,53.815,0.17041766022870133,0.9125339781535864
14,0000-00-00,1087960,351028109,6.0,2.8877,0.28877,topics,5168828.0,302006,10.0,2018-09-25,0.7891,0.131517,0.07891,Opdivo YERVOY advanced melanoma treatment,2018-11-01 18:44:03,-1.0,,3.0,-2.0986000000000002,-0.7267375419884338,
15,0000-00-00,1192352,351028109,135.0,173.551,0.28877,topics,5169053.0,302006,601.0,2018-09-25,176.434,1.30692,0.293568,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-01 18:44:03,-1.0,,100.0,2.8830000000000098,0.01661183168060115,0.009999999999999915
16,0000-00-00,1192354,351028109,2.0,2.31016,0.28877,topics,5177291.0,302006,8.0,2018-09-25,0.3948,0.1974,0.04935,polymast ixazomib darzalex kyprolis melanoma nsclc treatment,2018-11-01 18:44:03,-1.0,,10.0,-1.9153600000000002,-0.8291027461301381,0.010000000000002094
17,0000-00-00,1071100,351028109,93.0,148.139,0.28877,topics,5177345.0,302006,513.0,2018-09-25,131.321,1.41205,0.255986,ninlaro kyprolis empliciti revlimid polymast advanced multiple myeloma,2018-11-01 18:44:03,-1.0,,1.0,-16.818000000000012,-0.11352851038551638,0.979999999999998
18,0000-00-00,1490584,351028109,9.0,14.7273,0.28877,topics,5177490.0,302006,51.0,2018-09-25,10.4877,1.1653,0.205641,ninlaro polymast kyprolis empliciti revlimid advanced multiple myeloma,2018-11-01 18:44:03,-1.0,,-1.0,-4.239599999999999,-0.28787354097492407,
19,0000-00-00,1066746,351028109,23.0,37.7359,0.328138,topics,5201132.0,302006,115.0,2018-09-26,5.2914,0.230061,0.0460122,ixazomib darzalex kyprolis melanoma nsclc treatment,2018-11-01 18:44:45,-1.0,,6.0,-32.4445,-0.8597780892995793,
20,0000-00-00,1192352,351028109,37.0,47.58,0.328138,topics,5201593.0,302006,145.0,2018-09-26,67.1347,1.81445,0.462998,ninlaro kyprolis empliciti revlimid polymast relapsing multiple myeloma,2018-11-01 18:44:45,-1.0,,0.0,19.554699999999997,0.4109857082807902,0.010000000000001114
21,0000-00-00,1071100,351028109,172.0,266.12,0.328138,topics,5209661.0,302006,811.0,2018-09-26,224.734,1.30659,0.277107,ninlaro kyprolis empliciti revlimid polymast advanced multiple myeloma,2018-11-01 18:44:45,-1.0,,100.0,-41.385999999999996,-0.15551630843228617,0.9799999999999973
22,0000-00-00,1490584,351028109,3.0,2.29697,0.328138,topics,5209825.0,302006,7.0,2018-09-26,1.5838,0.527933,0.226257,ninlaro polymast kyprolis empliciti revlimid advanced multiple myeloma,2018-11-01 18:44:45,-1.0,,0.0,-0.7131699999999999,-0.31048294056953285,
23,0000-00-00,1491081,351028109,5.0,19.032,0.328138,topics,5209861.0,302006,58.0,2018-09-26,19.6993,3.93986,0.339643,BRAFTOVI MEKTOVI revlimid darzalex nsclc treatment,2018-11-01 18:44:45,-1.0,,3.0,0.6673000000000009,0.03506200084068941,
